decIngresoFam_Ficha;quintil_correcto;new_quintil
200.0;1;1
450.0;2;2
150.0;1;1
200.0;1;1
500.0;2;2
100.0;1;1
300.0;1;1
100.0;1;1
300.0;1;1
400.0;1;1
400.0;1;1
300.0;1;1
500.0;2;2
0.0;0;0
250.0;1;1
250.0;1;1
250.0;1;1
800.0;2;2
120.0;1;1
200.0;1;1
100.0;1;1
100.0;1;1
400.0;1;1
400.0;1;1
350.0;1;1
80.0;1;1
150.0;1;1
350.0;1;1
500.0;2;2
200.0;1;1
350.0;1;1
160.0;1;1
400.0;1;1
425.0;2;2
425.0;2;2
425.0;2;2
350.0;1;1
300.0;1;1
100.0;1;1
425.0;2;2
600.0;2;2
160.0;1;1
400.0;1;1
50.0;1;1
425.0;2;2
50.0;1;1
250.0;1;1
50.0;1;1
425.0;2;2
50.0;1;1
8.0;1;1
425.0;2;2
0.0;0;0
350.0;1;1
100.0;1;1
700.0;2;2
300.0;1;1
400.0;1;1
100.0;1;1
100.0;1;1
100.0;1;1
200.0;1;1
950.0;3;3
374.0;1;1
0.01;1;1
0.0;0;0
150.0;1;1
400.0;1;1
250.0;1;1
425.0;2;2
1.0;1;1
100.0;1;1
500.0;2;2
560.0;2;2
700.0;2;2
30.0;1;1
200.0;1;1
250.0;1;1
300.0;1;1
200.0;1;1
360.0;1;1
100.0;1;1
300.0;1;1
700.0;2;2
300.0;1;1
400.0;1;1
425.0;2;2
20.0;1;1
50.0;1;1
500.0;2;2
350.0;1;1
400.0;1;1
100.0;1;1
300.0;1;1
350.0;1;1
100.0;1;1
200.0;1;1
300.0;1;1
600.0;2;2
240.0;1;1
40.0;1;1
300.0;1;1
360.0;1;1
300.0;1;1
70.0;1;1
5.0;1;1
270.0;1;1
950.0;3;3
400.0;1;1
400.0;1;1
600.0;2;2
300.0;1;1
700.0;2;2
400.0;1;1
350.0;1;1
50.0;1;1
800.0;2;2
200.0;1;1
400.0;1;1
950.0;3;3
400.0;1;1
800.0;2;2
425.0;2;2
20.0;1;1
100.0;1;1
600.0;2;2
600.0;2;2
10.0;1;1
45.0;1;1
350.0;1;1
400.0;1;1
950.0;3;3
100.0;1;1
200.0;1;1
100.0;1;1
100.0;1;1
425.0;2;2
950.0;3;3
400.0;1;1
100.0;1;1
400.0;1;1
250.0;1;1
400.0;1;1
300.0;1;1
70.0;1;1
950.0;3;3
0.0;0;0
250.0;1;1
30.0;1;1
950.0;3;3
950.0;3;3
90.0;1;1
100.0;1;1
200.0;1;1
5.0;1;1
200.0;1;1
450.0;2;2
50.0;1;1
100.0;1;1
300.0;1;1
0.0;0;0
300.0;1;1
817.0;3;3
200.0;1;1
400.0;1;1
200.0;1;1
400.0;1;1
950.0;3;3
200.0;1;1
400.0;1;1
300.0;1;1
90.0;1;1
400.0;1;1
400.0;1;1
400.0;1;1
480.0;2;2
250.0;1;1
480.0;2;2
30.0;1;1
100.0;1;1
300.0;1;1
300.0;1;1
420.0;2;2
150.0;1;1
360.0;1;1
200.0;1;1
80.0;1;1
40.0;1;1
200.0;1;1
393.0;1;1
250.0;1;1
93.0;1;1
200.0;1;1
400.0;1;1
150.0;1;1
100.0;1;1
30.0;1;1
600.0;2;2
200.0;1;1
0.0;0;0
250.0;1;1
500.0;2;2
380.0;1;1
450.0;2;2
100.0;1;1
400.0;1;1
100.0;1;1
500.0;2;2
600.0;2;2
400.0;1;1
400.0;1;1
120.0;1;1
200.0;1;1
100.0;1;1
180.0;1;1
800.0;2;2
360.0;1;1
300.0;1;1
50.0;1;1
400.0;1;1
30.0;1;1
950.0;3;3
300.0;1;1
50.0;1;1
250.0;1;1
5.0;1;1
150.0;1;1
150.0;1;1
400.0;1;1
200.0;1;1
200.0;1;1
500.0;2;2
950.0;3;3
600.0;2;2
3.0;1;1
950.0;3;3
950.0;3;3
400.0;1;1
400.0;1;1
950.0;3;3
150.0;1;1
800.0;2;2
800.0;2;2
200.0;1;1
70.0;1;1
250.0;1;1
500.0;2;2
450.0;2;2
